id;date_affectation;motif;date_restitution;agent_id
1;2026-09-02;sous couleur de aux alentours de de crainte que;2026-09-02;1
2;2026-09-02;puis réagir électorat;2026-09-02;2
3;2026-09-02;vis-à-vie de en decà de;2026-09-02;3
4;2026-09-02;beaucoup;2026-09-02;4
5;2026-09-02;meuh;2026-09-02;5
6;2026-09-02;prendre;2026-09-02;6
7;2026-09-02;antagoniste;2026-09-02;7
8;2026-09-02;gouverner miam crac;2026-09-02;8
9;2026-09-02;insipide cadre;2026-09-02;9
10;2026-09-02;rédaction mieux tellement;2026-09-02;10
11;2026-09-01;en dedans de;2026-09-02;11
12;2026-09-02;ici;2026-09-02;12
13;2026-09-02;parlementaire;2026-09-02;13
14;2026-09-02;chut;2026-09-02;14
15;2026-09-02;cocorico guide;2026-09-02;15
16;2026-09-02;direction;2026-09-02;16
17;2026-09-02;y ici;2026-09-02;17
18;2026-09-02;ah clientèle;2026-09-02;18
19;2026-09-02;exciter;2026-09-02;19
20;2026-09-02;infime moins smack;2026-09-02;20
21;2026-09-02;parcourir de manière à ce que;2026-09-02;21
22;2026-09-02;membre du personnel a;2026-09-02;22
23;2026-09-02;efficace après intéresser;2026-09-02;23
24;2026-09-02;terriblement dessous;2026-09-02;24
25;2026-09-02;cependant aujourd'hui sous;2026-09-02;25
26;2026-09-02;aussitôt que;2026-09-02;26
27;2026-09-02;pis commis;2026-09-02;27
28;2026-09-02;dépouiller parmi fade;2026-09-02;28
29;2026-09-02;psitt;2026-09-02;29
30;2026-09-02;ensuite lectorat en dedans de;2026-09-02;30
