id;observation;statut;affectation_id;actif_id
1;via drelin;ACTIVE;1;1
2;étudier;ACTIVE;2;2
3;trop;CLOTUREE;3;3
4;présidence diplomate traverser;CLOTUREE;4;4
5;groin groin autant;ACTIVE;5;5
6;d'entre camarade;CLOTUREE;6;6
7;recruter;ACTIVE;7;7
8;au point que;CLOTUREE;8;8
9;attirer cyan absolument;ACTIVE;9;9
10;énergique trop;CLOTUREE;10;10
11;plouf;CLOTUREE;11;11
12;touriste;ACTIVE;12;12
13;quasiment quitte à reproduire;ACTIVE;13;13
14;lorsque à l'entour de pin-pon;ACTIVE;14;14
15;clac dès préoccuper;ACTIVE;15;15
16;sale impromptu;CLOTUREE;16;16
17;sage fabriquer;ACTIVE;17;17
18;lors;CLOTUREE;18;18
19;délégation malade;CLOTUREE;19;19
20;aussitôt que défiler;CLOTUREE;20;20
21;à l'entour de dring actionnaire;ACTIVE;21;21
22;drelin;ACTIVE;22;22
23;de manière à ce que;CLOTUREE;23;23
24;après-demain hors de recommander;ACTIVE;24;24
25;diplomate pour que;CLOTUREE;25;25
26;renforcer en;ACTIVE;26;26
27;antagoniste bof;ACTIVE;27;27
28;au-dessus de corps enseignant cependant;CLOTUREE;28;28
29;jusqu’à ce que;CLOTUREE;29;29
30;broum;CLOTUREE;30;30
