id;numero;date_emission;type_bordereau;statut_validation;date_validation;emetteur_id
1;y pressentir recourir;2026-09-10;AFFECTATION;REJETE;2026-09-10;1
2;plic;2026-09-10;TRANSFERT;EN_ATTENTE;2026-09-10;2
3;drelin sus;2026-09-10;AFFECTATION;EN_ATTENTE;2026-09-10;1
4;zzzz;2026-09-10;AFFECTATION;EN_ATTENTE;2026-09-10;1
5;de crainte que sitôt que;2026-09-10;AFFECTATION;VALIDE;2026-09-09;1
6;direction dans la mesure où;2026-09-10;TRANSFERT;EN_ATTENTE;2026-09-10;2
7;inquiéter;2026-09-10;TRANSFERT;VALIDE;2026-09-10;2
8;camarade vers guère;2026-09-10;TRANSFERT;EN_ATTENTE;2026-09-10;1
9;lorsque;2026-09-10;TRANSFERT;VALIDE;2026-09-10;2
10;insolite commenter;2026-09-10;TRANSFERT;EN_ATTENTE;2026-09-10;1
11;chut gai;2026-09-10;TRANSFERT;VALIDE;2026-09-10;2
12;dans la mesure où davantage à condition que;2026-09-10;AFFECTATION;REJETE;2026-09-10;1
13;bien que;2026-09-10;AFFECTATION;VALIDE;2026-09-10;2
14;avant que plus;2026-09-10;TRANSFERT;REJETE;2026-09-10;1
15;toujours que;2026-09-10;AFFECTATION;REJETE;2026-09-10;1
16;rose hypocrite;2026-09-10;TRANSFERT;REJETE;2026-09-09;2
17;commis groin groin;2026-09-10;TRANSFERT;REJETE;2026-09-10;2
18;toc-toc après-demain;2026-09-10;AFFECTATION;EN_ATTENTE;2026-09-10;1
19;avant que si;2026-09-10;TRANSFERT;REJETE;2026-09-10;1
20;passager;2026-09-10;AFFECTATION;REJETE;2026-09-10;2
21;suivant ha trop;2026-09-10;AFFECTATION;VALIDE;2026-09-10;1
22;afin que communauté étudiante;2026-09-10;TRANSFERT;VALIDE;2026-09-10;2
23;vouh;2026-09-10;AFFECTATION;VALIDE;2026-09-10;2
24;avant que dès;2026-09-10;AFFECTATION;REJETE;2026-09-10;1
25;ronron si bien que présidence;2026-09-10;AFFECTATION;EN_ATTENTE;2026-09-10;1
26;circuler;2026-09-10;AFFECTATION;REJETE;2026-09-10;1
27;étant donné que consoler spécialiste;2026-09-09;AFFECTATION;EN_ATTENTE;2026-09-10;1
28;alors que badaboum;2026-09-10;TRANSFERT;VALIDE;2026-09-10;2
29;pff en dehors de;2026-09-10;AFFECTATION;VALIDE;2026-09-10;2
30;hypocrite à côté de;2026-09-10;TRANSFERT;EN_ATTENTE;2026-09-10;1
