id;libelle;description
1;au cas où d'entre;égoïste
2;avant-hier crac magenta;à même
3;enfin hebdomadaire vu que;ajouter amorphe
4;outre envers;bang touchant jeune
5;secouriste embarquer longtemps;à moins de
6;quitter;membre à vie causer électorat
7;pin-pon;égoïste
8;broum pour que;en faveur de géométrique affable
9;sonner proche de;expliquer
10;miaou a parfois;soit ci tant
11;prolonger longtemps;commis
12;ding oh;rédaction
13;pour que;jusque sous couleur de
14;par euh;souper tant que assez
15;guide;paf
16;enfin géométrique gai;à travers
17;main-d’œuvre;quand glouglou jeune
18;perplexe;administration
19;sauf à rétablir;délégation fonctionnaire blablabla
20;aux alentours de;immense
21;adepte de peur que miam;avex diplomate chanter
22;ouille;apercevoir
23;tic-tac amorphe;via
24;lorsque hé;simple
25;parlementaire;viser jeune enfant
26;drelin broum;sauf à
27;aussi horrible forcer;miam de par apparemment
28;quant à ici carrément;simple près de intégrer
29;quant à;au prix de corps enseignant
30;franco mépriser contre;environ collègue
