id;type_contrat;reference;date_debut;date_fin;fournisseur_id
1;GARANTIE;adepte admirablement charitable;2026-09-02;2026-09-01;1
2;MAINTENANCE;grâce à coin-coin;2026-09-01;2026-09-02;2
3;GARANTIE;conseil d’administration gens;2026-09-02;2026-09-02;3
4;MAINTENANCE;si;2026-09-01;2026-09-02;4
5;GARANTIE;plouf parce que à raison de;2026-09-02;2026-09-02;5
6;MAINTENANCE;amorphe;2026-09-01;2026-09-02;6
7;MAINTENANCE;à condition que parce que moyennant;2026-09-02;2026-09-02;7
8;GARANTIE;oh paf;2026-09-02;2026-09-01;8
9;MAINTENANCE;défaire auprès de toc-toc;2026-09-02;2026-09-02;9
10;MAINTENANCE;conseil municipal neutre au cas où;2026-09-02;2026-09-02;10
11;MAINTENANCE;à côté de;2026-09-02;2026-09-02;11
12;GARANTIE;trop peu;2026-09-02;2026-09-02;12
13;MAINTENANCE;guide snob;2026-09-02;2026-09-02;13
14;MAINTENANCE;drelin;2026-09-02;2026-09-02;14
15;MAINTENANCE;pschitt pourvu que;2026-09-01;2026-09-02;15
16;GARANTIE;vouh fonctionnaire;2026-09-02;2026-09-02;16
17;GARANTIE;déclencher;2026-09-02;2026-09-02;17
18;GARANTIE;insolite hi;2026-09-02;2026-09-02;18
19;GARANTIE;trop peu population du Québec ramasser;2026-09-01;2026-09-02;19
20;MAINTENANCE;vu que grrr aux alentours de;2026-09-02;2026-09-02;20
21;MAINTENANCE;triangulaire;2026-09-02;2026-09-02;21
22;MAINTENANCE;insolite infiniment;2026-09-02;2026-09-02;22
23;GARANTIE;assez;2026-09-02;2026-09-02;23
24;GARANTIE;influencer en dehors de comme;2026-09-02;2026-09-02;24
25;MAINTENANCE;vu que fonctionnaire coupable;2026-09-02;2026-09-02;25
26;GARANTIE;sincère snob;2026-09-02;2026-09-02;26
27;MAINTENANCE;téméraire plic autrefois;2026-09-01;2026-09-01;27
28;MAINTENANCE;aux environs de glouglou trop;2026-09-02;2026-09-02;28
29;MAINTENANCE;membre du personnel personnel;2026-09-02;2026-09-01;29
30;GARANTIE;même si;2026-09-02;2026-09-02;30
