id;date_declaration;type_intervention;statut;description;panne_id
1;2026-09-10;CORRECTIVE;ANNULEE;pour foule;1
2;2026-09-10;PREVENTIVE;ANNULEE;conseil d’administration;2
3;2026-09-10;CORRECTIVE;ANNULEE;membre à vie tant;3
4;2026-09-10;PREVENTIVE;ANNULEE;à côté de;4
5;2026-09-10;CORRECTIVE;ANNULEE;pauvre patientèle;5
6;2026-09-10;PREVENTIVE;EN_COURS;devant;6
7;2026-09-10;CORRECTIVE;EN_COURS;consoler de la part de;7
8;2026-09-10;PREVENTIVE;ANNULEE;sale accorder vouh;8
9;2026-09-10;PREVENTIVE;CLOTUREE;habituer alors;9
10;2026-09-10;PREVENTIVE;EN_COURS;appliquer;10
11;2026-09-10;CORRECTIVE;CLOTUREE;membre titulaire;11
12;2026-09-10;CORRECTIVE;CLOTUREE;diplomate;12
13;2026-09-10;CORRECTIVE;ANNULEE;près;13
14;2026-09-10;CORRECTIVE;ANNULEE;tant;14
15;2026-09-10;CORRECTIVE;EN_COURS;diablement patientèle;15
16;2026-09-10;CORRECTIVE;EN_COURS;durant ouille;16
17;2026-09-09;CORRECTIVE;ANNULEE;de la part de;17
18;2026-09-10;PREVENTIVE;CLOTUREE;jusqu’à ce que;18
19;2026-09-10;PREVENTIVE;CLOTUREE;au-delà afin que;19
20;2026-09-10;CORRECTIVE;CLOTUREE;quitte à;20
21;2026-09-10;CORRECTIVE;ANNULEE;adversaire dans la mesure où;21
22;2026-09-10;CORRECTIVE;CLOTUREE;rectorat avant que fonder;22
23;2026-09-10;CORRECTIVE;EN_COURS;personnel;23
24;2026-09-10;CORRECTIVE;CLOTUREE;novice touchant également;24
25;2026-09-10;PREVENTIVE;ANNULEE;près;25
26;2026-09-10;CORRECTIVE;ANNULEE;derrière présidence actionnaire;26
27;2026-09-10;CORRECTIVE;CLOTUREE;vroum conseil d’administration dériver;27
28;2026-09-09;CORRECTIVE;EN_COURS;loin coac coac de façon à ce que;28
29;2026-09-10;PREVENTIVE;CLOTUREE;prout;29
30;2026-09-10;CORRECTIVE;EN_COURS;au dépens de;30
