id;description;date_declaration;statut_panne;actif_id
1;à l'égard de certainement;2026-09-10;EN_COURS;1
2;vlan différer;2026-09-09;EN_COURS;2
3;pendant que mélancolique;2026-09-10;RESOLUE;3
4;à moins de quelque ça;2026-09-10;SIGNALEE;4
5;également replacer;2026-09-10;RESOLUE;5
6;afin que même si;2026-09-10;EN_COURS;6
7;lâche adepte auprès de;2026-09-10;RESOLUE;7
8;débile;2026-09-10;SIGNALEE;8
9;serrer drôlement;2026-09-10;RESOLUE;9
10;autrement en dedans de;2026-09-10;RESOLUE;10
11;très concernant;2026-09-10;EN_COURS;11
12;briller grâce à membre du personnel;2026-09-10;RESOLUE;12
13;badaboum pour au prix de;2026-09-10;RESOLUE;13
14;guide vraisemblablement;2026-09-10;RESOLUE;14
15;conseil d’administration;2026-09-09;SIGNALEE;15
16;adepte par hystérique;2026-09-10;RESOLUE;16
17;prou lutter marron;2026-09-09;EN_COURS;17
18;sitôt que hors de proche de;2026-09-10;RESOLUE;18
19;minuscule là-haut;2026-09-10;RESOLUE;19
20;sympathique hésiter athlète;2026-09-10;SIGNALEE;20
21;diététiste communauté étudiante;2026-09-10;RESOLUE;21
22;ha ha parmi;2026-09-10;SIGNALEE;22
23;insolite ouah soit;2026-09-10;SIGNALEE;23
24;bientôt;2026-09-10;SIGNALEE;24
25;meuh alentour;2026-09-10;RESOLUE;25
26;ha présidence dessous;2026-09-10;RESOLUE;26
27;blême;2026-09-10;RESOLUE;27
28;mieux prestataire de services;2026-09-10;RESOLUE;28
29;sous couleur de simple;2026-09-10;EN_COURS;29
30;ferme dans la mesure où;2026-09-10;RESOLUE;30
