id;date_prevue;periodicite;statut;description
1;2026-09-10;conseil d’administration éclaircir groin groin;PLANIFIER;toujours avex
2;2026-09-10;bon conseil municipal;PLANIFIER;que sincère peu
3;2026-09-10;simple;TERMINER;résulter jusqu’à ce que simple
4;2026-09-10;corps enseignant effacer psitt;PLANIFIER;parmi sale
5;2026-09-09;vlan jeune enfant détendre;PLANIFIER;drelin
6;2026-09-10;complètement tant;PLANIFIER;terne athlète percer
7;2026-09-10;drôlement loufoque;EN_COURS;financer proche de ouf
8;2026-09-10;donner personnel professionnel derechef;EN_COURS;dring en vérité renforcer
9;2026-09-10;combien;TERMINER;aussitôt que crac dans
10;2026-09-10;orienter;TERMINER;si
11;2026-09-10;maintenant turquoise boum;EN_COURS;dès que atchoum publier
12;2026-09-10;sous couleur de badaboum près;ANNULER;près quant à
13;2026-09-10;quoique pousser y;ANNULER;quasi
14;2026-09-10;loufoque adversaire;PLANIFIER;tandis que bien que apparemment
15;2026-09-10;coin-coin;ANNULER;quoique
16;2026-09-10;de manière à ce que;TERMINER;lever au-dessous de
17;2026-09-10;danser quitte à à même;PLANIFIER;groin groin lorsque adversaire
18;2026-09-10;affranchir pendant que égoïste;ANNULER;triste membre titulaire aigre
19;2026-09-10;enfin souvent ronron;ANNULER;à partir de là-haut
20;2026-09-10;pouvoir mieux;ANNULER;en plus de ferme comme
21;2026-09-10;vaste;ANNULER;ruiner à côté de areu areu
22;2026-09-10;en outre de;TERMINER;souper jeune enfant turquoise
23;2026-09-10;environ;EN_COURS;sans que
24;2026-09-10;vlan trop peu;PLANIFIER;oh
25;2026-09-10;pour que hors de hors;PLANIFIER;tellement sage
26;2026-09-10;toc-toc vu que;ANNULER;violer jadis communiquer
27;2026-09-10;malgré;PLANIFIER;hystérique modifier
28;2026-09-10;plic;ANNULER;tant comme
29;2026-09-10;couler tellement;PLANIFIER;bè
30;2026-09-10;membre à vie;ANNULER;revêtir
