id;date_debut;date_fin;statut
1;2026-09-10;2026-09-10;CLOTUREE
2;2026-09-10;2026-09-10;EN_COURS
3;2026-09-10;2026-09-10;PLANIFIER
4;2026-09-10;2026-09-10;CLOTUREE
5;2026-09-10;2026-09-10;PLANIFIER
6;2026-09-10;2026-09-10;PLANIFIER
7;2026-09-10;2026-09-10;CLOTUREE
8;2026-09-10;2026-09-10;PLANIFIER
9;2026-09-10;2026-09-10;EN_COURS
10;2026-09-10;2026-09-10;EN_COURS
11;2026-09-10;2026-09-10;PLANIFIER
12;2026-09-10;2026-09-10;EN_COURS
13;2026-09-10;2026-09-10;EN_COURS
14;2026-09-09;2026-09-10;EN_COURS
15;2026-09-10;2026-09-10;CLOTUREE
16;2026-09-10;2026-09-10;CLOTUREE
17;2026-09-10;2026-09-10;PLANIFIER
18;2026-09-10;2026-09-09;CLOTUREE
19;2026-09-10;2026-09-10;PLANIFIER
20;2026-09-10;2026-09-10;CLOTUREE
21;2026-09-10;2026-09-10;EN_COURS
22;2026-09-10;2026-09-10;EN_COURS
23;2026-09-10;2026-09-10;PLANIFIER
24;2026-09-10;2026-09-10;CLOTUREE
25;2026-09-09;2026-09-10;PLANIFIER
26;2026-09-10;2026-09-10;EN_COURS
27;2026-09-10;2026-09-10;PLANIFIER
28;2026-09-10;2026-09-10;CLOTUREE
29;2026-09-10;2026-09-10;CLOTUREE
30;2026-09-10;2026-09-09;CLOTUREE
