id;nom_service;chef_service
1;commis;collègue coin-coin groin groin
2;donner;tchou tchouu
3;consommer moins;souffler réagir adversaire
4;tant concilier reconstruire;autrefois grrr hormis
5;hypocrite vouloir baisser;juriste
6;en face de invoquer;pleurer où
7;commissionnaire;cyan
8;toc-toc même si tsoin-tsoin;miam
9;ouille rattacher;plouf aussitôt que aimable
10;au-dessus;pourvu que
11;à l'insu de à bas de;parce que fade environ
12;sans doute aux alentours de;échouer
13;prier;à condition que membre du personnel magnifique
14;d'entre;mieux sans que
15;ajouter après que;ouf membre à vie tranquille
16;devant quand adepte;antique ici
17;de peur de mairie;reconstruire pas mal
18;rembourser vu que tellement;magenta
19;tranquille miam;membre titulaire
20;collègue dans la mesure où;vers lorsque regagner
21;approximativement actionnaire;de façon que depuis visiter
22;membre du personnel main-d’œuvre;bof
23;large tellement;apte entre-temps agréable
24;sympathique drelin arrière;trop miam
25;deçà;effectuer
26;toujours d’autant que cadre;tant que songer d'avec
27;puisque;de façon que guide loufoque
28;afin que du côté de de manière à;d'abord
29;croire;snif rose
30;malade informer foule;rapide snob bè
