id;date_demande;statut;commentaire_rejet;date_traitement;actif_id
1;2026-09-02;VALIDE;lorsque de crainte que vide;2026-09-02;1
2;2026-09-02;EN_ATTENTE;lécher de façon à ce que;2026-09-02;2
3;2026-09-02;REJETE;avant que de sorte que comme;2026-09-02;3
4;2026-09-01;VALIDE;en face de;2026-09-01;4
5;2026-09-02;EN_ATTENTE;admirablement hôte équipe de recherche;2026-09-02;5
6;2026-09-02;REJETE;appeler gens;2026-09-02;6
7;2026-09-02;REJETE;ronron dans moderne;2026-09-02;7
8;2026-09-02;VALIDE;veiller;2026-09-02;8
9;2026-09-01;REJETE;équipe de recherche communauté étudiante;2026-09-02;9
10;2026-09-01;VALIDE;rédaction supposer;2026-09-02;10
11;2026-09-02;VALIDE;biathlète près grimper;2026-09-02;11
12;2026-09-02;VALIDE;sauvage recta après-demain;2026-09-02;12
13;2026-09-02;EN_ATTENTE;sympathique outre libérer;2026-09-02;13
14;2026-09-02;EN_ATTENTE;à seule fin de groin groin conseil d’administration;2026-09-02;14
15;2026-09-02;REJETE;oh;2026-09-02;15
16;2026-09-02;VALIDE;dès que;2026-09-02;16
17;2026-09-02;EN_ATTENTE;mairie dorénavant;2026-09-02;17
18;2026-09-02;EN_ATTENTE;interpréter;2026-09-02;18
19;2026-09-02;VALIDE;actionnaire boum;2026-09-02;19
20;2026-09-02;VALIDE;tout avant que;2026-09-02;20
21;2026-09-01;VALIDE;admirablement pendant que;2026-09-02;21
22;2026-09-02;EN_ATTENTE;éviter menacer;2026-09-02;22
23;2026-09-02;REJETE;à l'instar de totalement un peu;2026-09-02;23
24;2026-09-02;EN_ATTENTE;extra sincère population du Québec;2026-09-02;24
25;2026-09-02;EN_ATTENTE;ouille;2026-09-02;25
26;2026-09-02;VALIDE;sans pauvre;2026-09-02;26
27;2026-09-02;REJETE;ouille;2026-09-01;27
28;2026-09-02;EN_ATTENTE;également;2026-09-02;28
29;2026-09-02;REJETE;incognito;2026-09-02;29
30;2026-09-01;REJETE;au point que puisque;2026-09-01;30
