id;observation;transfert_id;actif_id
1;meuh autrefois;1;1
2;intrépide novice;2;2
3;insuffisamment étant donné que;3;3
4;d'avec obéir;4;4
5;forcer antagoniste foule;5;5
6;considérer;6;6
7;charitable infime au-delà;7;7
8;meuh tantôt;8;8
9;de la part de suivant peut-être;9;9
10;camarade adorable de sorte que;10;10
11;pendant que super antagoniste;11;11
12;présidence à la merci;12;12
13;bang au point que camarade;13;13
14;presque ouah;14;14
15;fréquenter;15;15
16;entourer;16;16
17;parfois redevenir à peu près;17;17
18;cot cot atchoum hier;18;18
19;assurément outre aimable;19;19
20;quasiment;20;20
21;pin-pon;21;21
22;conquérir adepte commis de cuisine;22;22
23;miam là;23;23
24;membre du personnel membre titulaire;24;24
25;du côté de d’autant que;25;25
26;assimiler personnel professionnel;26;26
27;prout;27;27
28;oublier diablement;28;28
29;étant donné que émouvoir;29;29
30;expédier corps enseignant;30;30
